Count,Timestamp,TimeSinceStart
1,2026-06-08 13:39:15.795,46.612
2,2026-06-08 13:39:19.514,50.331
3,2026-06-08 13:39:20.258,51.075
1,2026-06-09 12:43:01.421,12.050
1,2026-06-09 13:12:25.131,6.872
2,2026-06-09 13:12:26.963,8.704
1,2026-06-09 13:34:03.888,3.382
1,2026-06-09 16:01:39.767,11,395
2,2026-06-09 16:01:40.582,12,209
3,2026-06-09 16:01:57.694,29,322
1,2026-06-09 19:31:26.421,85,282
2,2026-06-09 19:31:27.578,86,439
3,2026-06-09 19:31:44.449,103,310
4,2026-06-09 19:31:46.892,105,754
1,2026-06-09 19:38:50.694,24,276
2,2026-06-09 19:38:54.251,27,832
1,2026-06-10 13:32:30.557,29,632
2,2026-06-10 13:32:32.332,31,407
3,2026-06-10 13:32:33.388,32,463
4,2026-06-10 13:32:33.834,32,909
5,2026-06-10 13:32:33.945,33,020
1,2026-06-10 14:05:10.084,79,627
2,2026-06-10 14:05:21.629,91,173
3,2026-06-10 14:05:24.241,93,785
4,2026-06-10 14:05:25.851,95,395
1,2026-06-10 17:05:20.935,102,034
1,2026-06-10 18:42:13.375,10,805
2,2026-06-10 18:42:17.284,11,805
3,2026-06-10 18:44:11.433,31,805
4,2026-06-10 18:44:15.414,32,472
5,2026-06-10 18:44:19.335,33,138
1,2026-06-10 19:05:38.893,8,479
2,2026-06-10 19:05:40.144,9,730
3,2026-06-10 19:05:43.484,11,972
4,2026-06-10 19:05:44.771,13,260
